entry_time,exit_time,entry_price,exit_price,stop,target,pnl,r_multiple,position
2015-02-04 15:15:00,2015-02-04 15:15:00,,219.2,,,566.3999999999678,0.5667081654707793,0
2015-02-05 09:15:00,2015-02-05 09:15:00,,218.00540817566187,,,-999.9868200861085,-1.0,0
2015-02-09 15:20:00,2015-02-09 15:20:00,,211.05,,,242.75,0.24292029297603915,0
2015-02-10 13:50:00,2015-02-10 13:50:00,,208.56639484086605,,,1999.8996213777973,1.9999999999999756,0
2015-02-10 14:00:00,2015-02-10 14:00:00,,207.2,,,-507.0000000000192,-0.5074196529972058,0
2015-02-10 14:10:00,2015-02-10 14:10:00,,204.61742554427835,,,-999.4308417912307,-1.0,0
2015-02-10 14:20:00,2015-02-10 14:20:00,,205.0,,,-443.0999999999928,-0.4431809652059622,0
2015-02-10 14:30:00,2015-02-10 14:30:00,,206.5,,,682.5000000000074,0.6827368657699845,0
2015-02-11 14:45:00,2015-02-11 14:45:00,,213.05,,,-57.05000000001297,-0.05705158926478016,0
2015-02-11 14:55:00,2015-02-11 14:55:00,,212.9,,,459.6000000000065,0.4599277343518304,0
2015-02-12 09:20:00,2015-02-12 09:20:00,,213.5,,,734.9999999999881,0.7350086971284343,0
2015-02-13 11:50:00,2015-02-13 11:50:00,,216.25,,,-335.0,-0.3350120437255936,0
2015-02-13 12:05:00,2015-02-13 12:05:00,,216.3,,,0.0,0.0,0
2015-02-13 13:05:00,2015-02-13 13:05:00,,216.2,,,762.0,0.7620871368327649,0
2015-02-13 13:30:00,2015-02-13 13:30:00,,216.9,,,-321.4000000000274,-0.3214616388723066,0
2015-02-13 13:40:00,2015-02-13 13:40:00,,217.0,,,82.15000000001868,0.08218391949436421,0
2015-02-13 13:55:00,2015-02-13 13:55:00,,216.6,,,823.0,0.8231409754710548,0
2015-02-23 09:20:00,2015-02-23 09:20:00,,205.3,,,470.80000000000666,0.47115151446598846,0
2015-02-23 13:45:00,2015-02-23 13:45:00,,203.89145639302316,,,1998.9311259396802,2.0,0
2015-02-23 14:10:00,2015-02-23 14:10:00,,202.40284523102665,,,-999.7782404054265,-1.0,0
2015-02-23 14:20:00,2015-02-23 14:20:00,,202.8,,,188.50000000004286,0.18851744846525603,0
2015-02-23 14:45:00,2015-02-23 14:45:00,,202.2541135278713,,,1999.5718938645716,1.9999999999999505,0
2015-02-23 15:15:00,2015-02-23 15:15:00,,200.66851386826815,,,-999.6425465315369,-1.0,0
2015-02-23 15:25:00,2015-02-23 15:25:00,,200.4,,,148.39999999999156,0.14848917237403075,0
2015-02-24 09:30:00,2015-02-24 09:30:00,,199.85,,,545.5999999999831,0.5460731930613859,0
2015-02-24 12:55:00,2015-02-24 12:55:00,,197.7,,,0.0,0.0,0
2015-02-24 14:55:00,2015-02-24 14:55:00,,198.3,,,474.95000000003085,0.4751084208058145,0
2015-02-25 09:45:00,2015-02-25 09:45:00,,201.85,,,59.8000000000136,0.05983986310642046,0
